#T sigma Cumulative-DoS DoS-this-bin
#Trying plotting like: gnuplot> p "DoS.dat" u 2:4 
300.000000 3.200000 0.000000 0.000000
300.000000 3.210000 0.000000 0.000000
300.000000 3.220000 0.000000 0.000000
300.000000 3.230000 0.000000 0.000000
300.000000 3.240000 0.000000 0.000000
300.000000 3.250000 0.000000 0.000000
300.000000 3.260000 0.000000 0.000000
300.000000 3.270000 0.000000 0.000000
300.000000 3.280000 0.000000 0.000000
300.000000 3.290000 0.000000 0.000000
300.000000 3.300000 0.000000 0.000000
300.000000 3.310000 0.000000 0.000000
300.000000 3.320000 0.000000 0.000000
300.000000 3.330000 0.000000 0.000000
300.000000 3.340000 0.000000 0.000000
300.000000 3.350000 0.000000 0.000000
300.000000 3.360000 0.000000 0.000000
300.000000 3.370000 0.000000 0.000000
300.000000 3.380000 0.000000 0.000000
300.000000 3.390000 0.000000 0.000000
300.000000 3.400000 0.000000 0.000000
300.000000 3.410000 0.000000 0.000000
300.000000 3.420000 0.000000 0.000000
300.000000 3.430000 0.000000 0.000000
300.000000 3.440000 0.000000 0.000000
300.000000 3.450000 0.000000 0.000000
300.000000 3.460000 0.000000 0.000000
300.000000 3.470000 0.000000 0.000000
300.000000 3.480000 0.000000 0.000000
300.000000 3.490000 0.000000 0.000000
300.000000 3.500000 0.000000 0.000000
300.000000 3.510000 0.000000 0.000000
300.000000 3.520000 0.000000 0.000000
300.000000 3.530000 0.000000 0.000000
300.000000 3.540000 0.000000 0.000000
300.000000 3.550000 0.000000 0.000000
300.000000 3.560000 0.000000 0.000000
300.000000 3.570000 1.000000 1.000000
300.000000 3.580000 1.000000 0.000000
300.000000 3.590000 2.000000 1.000000
300.000000 3.600000 5.000000 3.000000
300.000000 3.610000 8.000000 3.000000
300.000000 3.620000 17.000000 9.000000
300.000000 3.630000 35.000000 18.000000
300.000000 3.640000 56.000000 21.000000
300.000000 3.650000 94.000000 38.000000
300.000000 3.660000 158.000000 64.000000
300.000000 3.670000 269.000000 111.000000
300.000000 3.680000 457.000000 188.000000
300.000000 3.690000 696.000000 239.000000
300.000000 3.700000 1032.000000 336.000000
300.000000 3.710000 1485.000000 453.000000
300.000000 3.720000 2071.000000 586.000000
300.000000 3.730000 2834.000000 763.000000
300.000000 3.740000 3849.000000 1015.000000
300.000000 3.750000 5073.000000 1224.000000
300.000000 3.760000 6629.000000 1556.000000
300.000000 3.770000 8413.000000 1784.000000
300.000000 3.780000 10480.000000 2067.000000
300.000000 3.790000 12878.000000 2398.000000
300.000000 3.800000 15639.000000 2761.000000
300.000000 3.810000 18648.000000 3009.000000
300.000000 3.820000 22034.000000 3386.000000
300.000000 3.830000 25661.000000 3627.000000
300.000000 3.840000 29497.000000 3836.000000
300.000000 3.850000 33747.000000 4250.000000
300.000000 3.860000 38110.000000 4363.000000
300.000000 3.870000 42713.000000 4603.000000
300.000000 3.880000 47586.000000 4873.000000
300.000000 3.890000 52687.000000 5101.000000
300.000000 3.900000 57871.000000 5184.000000
300.000000 3.910000 63056.000000 5185.000000
300.000000 3.920000 68448.000000 5392.000000
300.000000 3.930000 73718.000000 5270.000000
300.000000 3.940000 79105.000000 5387.000000
300.000000 3.950000 84656.000000 5551.000000
300.000000 3.960000 90122.000000 5466.000000
300.000000 3.970000 95697.000000 5575.000000
300.000000 3.980000 101127.000000 5430.000000
300.000000 3.990000 106608.000000 5481.000000
300.000000 4.000000 112129.000000 5521.000000
300.000000 4.010000 117532.000000 5403.000000
300.000000 4.020000 122925.000000 5393.000000
300.000000 4.030000 128322.000000 5397.000000
300.000000 4.040000 133654.000000 5332.000000
300.000000 4.050000 138751.000000 5097.000000
300.000000 4.060000 144085.000000 5334.000000
300.000000 4.070000 149093.000000 5008.000000
300.000000 4.080000 154214.000000 5121.000000
300.000000 4.090000 159272.000000 5058.000000
300.000000 4.100000 164112.000000 4840.000000
300.000000 4.110000 169096.000000 4984.000000
300.000000 4.120000 173901.000000 4805.000000
300.000000 4.130000 178711.000000 4810.000000
300.000000 4.140000 183572.000000 4861.000000
300.000000 4.150000 188323.000000 4751.000000
300.000000 4.160000 193082.000000 4759.000000
300.000000 4.170000 197687.000000 4605.000000
300.000000 4.180000 202262.000000 4575.000000
300.000000 4.190000 206800.000000 4538.000000
300.000000 4.200000 211319.000000 4519.000000
300.000000 4.210000 215749.000000 4430.000000
300.000000 4.220000 220064.000000 4315.000000
300.000000 4.230000 224427.000000 4363.000000
300.000000 4.240000 228772.000000 4345.000000
300.000000 4.250000 233164.000000 4392.000000
300.000000 4.260000 237452.000000 4288.000000
300.000000 4.270000 241625.000000 4173.000000
300.000000 4.280000 245818.000000 4193.000000
300.000000 4.290000 250038.000000 4220.000000
300.000000 4.300000 254145.000000 4107.000000
300.000000 4.310000 258305.000000 4160.000000
300.000000 4.320000 262402.000000 4097.000000
300.000000 4.330000 266507.000000 4105.000000
300.000000 4.340000 270663.000000 4156.000000
300.000000 4.350000 274582.000000 3919.000000
300.000000 4.360000 278485.000000 3903.000000
300.000000 4.370000 282385.000000 3900.000000
300.000000 4.380000 286303.000000 3918.000000
300.000000 4.390000 290202.000000 3899.000000
300.000000 4.400000 294127.000000 3925.000000
300.000000 4.410000 297957.000000 3830.000000
300.000000 4.420000 301730.000000 3773.000000
300.000000 4.430000 305442.000000 3712.000000
300.000000 4.440000 309169.000000 3727.000000
300.000000 4.450000 312876.000000 3707.000000
300.000000 4.460000 316524.000000 3648.000000
300.000000 4.470000 320230.000000 3706.000000
300.000000 4.480000 323839.000000 3609.000000
300.000000 4.490000 327440.000000 3601.000000
300.000000 4.500000 330944.000000 3504.000000
300.000000 4.510000 334480.000000 3536.000000
300.000000 4.520000 338112.000000 3632.000000
300.000000 4.530000 341637.000000 3525.000000
300.000000 4.540000 345155.000000 3518.000000
300.000000 4.550000 348654.000000 3499.000000
300.000000 4.560000 352065.000000 3411.000000
300.000000 4.570000 355385.000000 3320.000000
300.000000 4.580000 358867.000000 3482.000000
300.000000 4.590000 362296.000000 3429.000000
300.000000 4.600000 365628.000000 3332.000000
300.000000 4.610000 369100.000000 3472.000000
300.000000 4.620000 372529.000000 3429.000000
300.000000 4.630000 375867.000000 3338.000000
300.000000 4.640000 379255.000000 3388.000000
300.000000 4.650000 382475.000000 3220.000000
300.000000 4.660000 385852.000000 3377.000000
300.000000 4.670000 389129.000000 3277.000000
300.000000 4.680000 392490.000000 3361.000000
300.000000 4.690000 395728.000000 3238.000000
300.000000 4.700000 399109.000000 3381.000000
300.000000 4.710000 402361.000000 3252.000000
300.000000 4.720000 405523.000000 3162.000000
300.000000 4.730000 408827.000000 3304.000000
300.000000 4.740000 412065.000000 3238.000000
300.000000 4.750000 415260.000000 3195.000000
300.000000 4.760000 418526.000000 3266.000000
300.000000 4.770000 421688.000000 3162.000000
300.000000 4.780000 424865.000000 3177.000000
300.000000 4.790000 428111.000000 3246.000000
300.000000 4.800000 431287.000000 3176.000000
300.000000 4.810000 434414.000000 3127.000000
300.000000 4.820000 437620.000000 3206.000000
300.000000 4.830000 440786.000000 3166.000000
300.000000 4.840000 443907.000000 3121.000000
300.000000 4.850000 446957.000000 3050.000000
300.000000 4.860000 449970.000000 3013.000000
300.000000 4.870000 452998.000000 3028.000000
300.000000 4.880000 456077.000000 3079.000000
300.000000 4.890000 459116.000000 3039.000000
300.000000 4.900000 462119.000000 3003.000000
300.000000 4.910000 465082.000000 2963.000000
300.000000 4.920000 468105.000000 3023.000000
300.000000 4.930000 471161.000000 3056.000000
300.000000 4.940000 474187.000000 3026.000000
300.000000 4.950000 477161.000000 2974.000000
300.000000 4.960000 480253.000000 3092.000000
300.000000 4.970000 483427.000000 3174.000000
300.000000 4.980000 486761.000000 3334.000000
300.000000 4.990000 490428.000000 3667.000000
300.000000 5.000000 500000.000000 9572.000000
300.000000 5.010000 509572.000000 9572.000000
300.000000 5.020000 513239.000000 3667.000000
300.000000 5.030000 516573.000000 3334.000000
300.000000 5.040000 519747.000000 3174.000000
300.000000 5.050000 522839.000000 3092.000000
300.000000 5.060000 525813.000000 2974.000000
300.000000 5.070000 528839.000000 3026.000000
300.000000 5.080000 531895.000000 3056.000000
300.000000 5.090000 534918.000000 3023.000000
300.000000 5.100000 537881.000000 2963.000000
300.000000 5.110000 540884.000000 3003.000000
300.000000 5.120000 543923.000000 3039.000000
300.000000 5.130000 547002.000000 3079.000000
300.000000 5.140000 550030.000000 3028.000000
300.000000 5.150000 553043.000000 3013.000000
300.000000 5.160000 556093.000000 3050.000000
300.000000 5.170000 559214.000000 3121.000000
300.000000 5.180000 562380.000000 3166.000000
300.000000 5.190000 565586.000000 3206.000000
300.000000 5.200000 568713.000000 3127.000000
300.000000 5.210000 571889.000000 3176.000000
300.000000 5.220000 575135.000000 3246.000000
300.000000 5.230000 578312.000000 3177.000000
300.000000 5.240000 581474.000000 3162.000000
300.000000 5.250000 584740.000000 3266.000000
300.000000 5.260000 587935.000000 3195.000000
300.000000 5.270000 591173.000000 3238.000000
300.000000 5.280000 594477.000000 3304.000000
300.000000 5.290000 597639.000000 3162.000000
300.000000 5.300000 600891.000000 3252.000000
300.000000 5.310000 604272.000000 3381.000000
300.000000 5.320000 607510.000000 3238.000000
300.000000 5.330000 610871.000000 3361.000000
300.000000 5.340000 614148.000000 3277.000000
300.000000 5.350000 617525.000000 3377.000000
300.000000 5.360000 620745.000000 3220.000000
300.000000 5.370000 624133.000000 3388.000000
300.000000 5.380000 627471.000000 3338.000000
300.000000 5.390000 630900.000000 3429.000000
300.000000 5.400000 634372.000000 3472.000000
300.000000 5.410000 637704.000000 3332.000000
300.000000 5.420000 641133.000000 3429.000000
300.000000 5.430000 644615.000000 3482.000000
300.000000 5.440000 647935.000000 3320.000000
300.000000 5.450000 651346.000000 3411.000000
300.000000 5.460000 654845.000000 3499.000000
300.000000 5.470000 658363.000000 3518.000000
300.000000 5.480000 661888.000000 3525.000000
300.000000 5.490000 665520.000000 3632.000000
300.000000 5.500000 669056.000000 3536.000000
300.000000 5.510000 672560.000000 3504.000000
300.000000 5.520000 676161.000000 3601.000000
300.000000 5.530000 679770.000000 3609.000000
300.000000 5.540000 683476.000000 3706.000000
300.000000 5.550000 687124.000000 3648.000000
300.000000 5.560000 690831.000000 3707.000000
300.000000 5.570000 694558.000000 3727.000000
300.000000 5.580000 698270.000000 3712.000000
300.000000 5.590000 702043.000000 3773.000000
300.000000 5.600000 705873.000000 3830.000000
300.000000 5.610000 709798.000000 3925.000000
300.000000 5.620000 713697.000000 3899.000000
300.000000 5.630000 717615.000000 3918.000000
300.000000 5.640000 721515.000000 3900.000000
300.000000 5.650000 725418.000000 3903.000000
300.000000 5.660000 729337.000000 3919.000000
300.000000 5.670000 733493.000000 4156.000000
300.000000 5.680000 737598.000000 4105.000000
300.000000 5.690000 741695.000000 4097.000000
300.000000 5.700000 745855.000000 4160.000000
300.000000 5.710000 749962.000000 4107.000000
300.000000 5.720000 754182.000000 4220.000000
300.000000 5.730000 758375.000000 4193.000000
300.000000 5.740000 762548.000000 4173.000000
300.000000 5.750000 766836.000000 4288.000000
300.000000 5.760000 771228.000000 4392.000000
300.000000 5.770000 775573.000000 4345.000000
300.000000 5.780000 779936.000000 4363.000000
300.000000 5.790000 784251.000000 4315.000000
300.000000 5.800000 788681.000000 4430.000000
300.000000 5.810000 793200.000000 4519.000000
300.000000 5.820000 797738.000000 4538.000000
300.000000 5.830000 802313.000000 4575.000000
300.000000 5.840000 806918.000000 4605.000000
300.000000 5.850000 811677.000000 4759.000000
300.000000 5.860000 816428.000000 4751.000000
300.000000 5.870000 821289.000000 4861.000000
300.000000 5.880000 826099.000000 4810.000000
300.000000 5.890000 830904.000000 4805.000000
300.000000 5.900000 835888.000000 4984.000000
300.000000 5.910000 840728.000000 4840.000000
300.000000 5.920000 845786.000000 5058.000000
300.000000 5.930000 850907.000000 5121.000000
300.000000 5.940000 855915.000000 5008.000000
300.000000 5.950000 861249.000000 5334.000000
300.000000 5.960000 866346.000000 5097.000000
300.000000 5.970000 871678.000000 5332.000000
300.000000 5.980000 877075.000000 5397.000000
300.000000 5.990000 882468.000000 5393.000000
300.000000 6.000000 887871.000000 5403.000000
300.000000 6.010000 893392.000000 5521.000000
300.000000 6.020000 898873.000000 5481.000000
300.000000 6.030000 904303.000000 5430.000000
300.000000 6.040000 909878.000000 5575.000000
300.000000 6.050000 915344.000000 5466.000000
300.000000 6.060000 920895.000000 5551.000000
300.000000 6.070000 926282.000000 5387.000000
300.000000 6.080000 931552.000000 5270.000000
300.000000 6.090000 936944.000000 5392.000000
300.000000 6.100000 942129.000000 5185.000000
300.000000 6.110000 947313.000000 5184.000000
300.000000 6.120000 952414.000000 5101.000000
300.000000 6.130000 957287.000000 4873.000000
300.000000 6.140000 961890.000000 4603.000000
300.000000 6.150000 966253.000000 4363.000000
300.000000 6.160000 970503.000000 4250.000000
300.000000 6.170000 974339.000000 3836.000000
300.000000 6.180000 977966.000000 3627.000000
300.000000 6.190000 981352.000000 3386.000000
300.000000 6.200000 984361.000000 3009.000000
300.000000 6.210000 987122.000000 2761.000000
300.000000 6.220000 989520.000000 2398.000000
300.000000 6.230000 991587.000000 2067.000000
300.000000 6.240000 993371.000000 1784.000000
300.000000 6.250000 994927.000000 1556.000000
300.000000 6.260000 996151.000000 1224.000000
300.000000 6.270000 997166.000000 1015.000000
300.000000 6.280000 997929.000000 763.000000
300.000000 6.290000 998515.000000 586.000000
300.000000 6.300000 998968.000000 453.000000
300.000000 6.310000 999304.000000 336.000000
300.000000 6.320000 999543.000000 239.000000
300.000000 6.330000 999731.000000 188.000000
300.000000 6.340000 999842.000000 111.000000
300.000000 6.350000 999906.000000 64.000000
300.000000 6.360000 999944.000000 38.000000
300.000000 6.370000 999965.000000 21.000000
300.000000 6.380000 999983.000000 18.000000
300.000000 6.390000 999992.000000 9.000000
300.000000 6.400000 999995.000000 3.000000
300.000000 6.410000 999998.000000 3.000000
300.000000 6.420000 999999.000000 1.000000
300.000000 6.430000 999999.000000 0.000000
300.000000 6.440000 1000000.000000 1.000000
300.000000 6.450000 1000000.000000 0.000000
300.000000 6.460000 1000000.000000 0.000000
300.000000 6.470000 1000000.000000 0.000000
300.000000 6.480000 1000000.000000 0.000000
300.000000 6.490000 1000000.000000 0.000000
300.000000 6.500000 1000000.000000 0.000000
300.000000 6.510000 1000000.000000 0.000000
300.000000 6.520000 1000000.000000 0.000000
300.000000 6.530000 1000000.000000 0.000000
300.000000 6.540000 1000000.000000 0.000000
300.000000 6.550000 1000000.000000 0.000000
300.000000 6.560000 1000000.000000 0.000000
300.000000 6.570000 1000000.000000 0.000000
300.000000 6.580000 1000000.000000 0.000000
300.000000 6.590000 1000000.000000 0.000000
300.000000 6.600000 1000000.000000 0.000000
300.000000 6.610000 1000000.000000 0.000000
300.000000 6.620000 1000000.000000 0.000000
300.000000 6.630000 1000000.000000 0.000000
300.000000 6.640000 1000000.000000 0.000000
300.000000 6.650000 1000000.000000 0.000000
300.000000 6.660000 1000000.000000 0.000000
300.000000 6.670000 1000000.000000 0.000000
300.000000 6.680000 1000000.000000 0.000000
300.000000 6.690000 1000000.000000 0.000000
300.000000 6.700000 1000000.000000 0.000000
300.000000 6.710000 1000000.000000 0.000000
300.000000 6.720000 1000000.000000 0.000000
300.000000 6.730000 1000000.000000 0.000000
300.000000 6.740000 1000000.000000 0.000000
