#T sigma Cumulative-DoS DoS-this-bin
#Trying plotting like: gnuplot> p "DoS.dat" u 2:4 
300.000000 3.200000 0.000000 0.000000
300.000000 3.210000 0.000000 0.000000
300.000000 3.220000 0.000000 0.000000
300.000000 3.230000 0.000000 0.000000
300.000000 3.240000 0.000000 0.000000
300.000000 3.250000 0.000000 0.000000
300.000000 3.260000 0.000000 0.000000
300.000000 3.270000 0.000000 0.000000
300.000000 3.280000 0.000000 0.000000
300.000000 3.290000 0.000000 0.000000
300.000000 3.300000 0.000000 0.000000
300.000000 3.310000 0.000000 0.000000
300.000000 3.320000 0.000000 0.000000
300.000000 3.330000 0.000000 0.000000
300.000000 3.340000 0.000000 0.000000
300.000000 3.350000 0.000000 0.000000
300.000000 3.360000 0.000000 0.000000
300.000000 3.370000 0.000000 0.000000
300.000000 3.380000 0.000000 0.000000
300.000000 3.390000 0.000000 0.000000
300.000000 3.400000 0.000000 0.000000
300.000000 3.410000 0.000000 0.000000
300.000000 3.420000 0.000000 0.000000
300.000000 3.430000 0.000000 0.000000
300.000000 3.440000 15.000000 15.000000
300.000000 3.450000 140.000000 125.000000
300.000000 3.460000 695.000000 555.000000
300.000000 3.470000 2047.000000 1352.000000
300.000000 3.480000 4584.000000 2537.000000
300.000000 3.490000 8330.000000 3746.000000
300.000000 3.500000 13244.000000 4914.000000
300.000000 3.510000 18886.000000 5642.000000
300.000000 3.520000 25250.000000 6364.000000
300.000000 3.530000 31926.000000 6676.000000
300.000000 3.540000 38707.000000 6781.000000
300.000000 3.550000 45574.000000 6867.000000
300.000000 3.560000 52364.000000 6790.000000
300.000000 3.570000 58919.000000 6555.000000
300.000000 3.580000 65533.000000 6614.000000
300.000000 3.590000 72074.000000 6541.000000
300.000000 3.600000 78365.000000 6291.000000
300.000000 3.610000 84500.000000 6135.000000
300.000000 3.620000 90358.000000 5858.000000
300.000000 3.630000 96202.000000 5844.000000
300.000000 3.640000 101831.000000 5629.000000
300.000000 3.650000 107365.000000 5534.000000
300.000000 3.660000 112794.000000 5429.000000
300.000000 3.670000 118039.000000 5245.000000
300.000000 3.680000 123015.000000 4976.000000
300.000000 3.690000 127902.000000 4887.000000
300.000000 3.700000 132779.000000 4877.000000
300.000000 3.710000 137452.000000 4673.000000
300.000000 3.720000 142188.000000 4736.000000
300.000000 3.730000 146719.000000 4531.000000
300.000000 3.740000 151283.000000 4564.000000
300.000000 3.750000 155680.000000 4397.000000
300.000000 3.760000 160044.000000 4364.000000
300.000000 3.770000 164321.000000 4277.000000
300.000000 3.780000 168349.000000 4028.000000
300.000000 3.790000 172481.000000 4132.000000
300.000000 3.800000 176504.000000 4023.000000
300.000000 3.810000 180480.000000 3976.000000
300.000000 3.820000 184363.000000 3883.000000
300.000000 3.830000 188287.000000 3924.000000
300.000000 3.840000 192060.000000 3773.000000
300.000000 3.850000 195756.000000 3696.000000
300.000000 3.860000 199479.000000 3723.000000
300.000000 3.870000 203172.000000 3693.000000
300.000000 3.880000 206734.000000 3562.000000
300.000000 3.890000 210319.000000 3585.000000
300.000000 3.900000 213863.000000 3544.000000
300.000000 3.910000 217396.000000 3533.000000
300.000000 3.920000 220790.000000 3394.000000
300.000000 3.930000 224123.000000 3333.000000
300.000000 3.940000 227489.000000 3366.000000
300.000000 3.950000 230835.000000 3346.000000
300.000000 3.960000 234070.000000 3235.000000
300.000000 3.970000 237370.000000 3300.000000
300.000000 3.980000 240552.000000 3182.000000
300.000000 3.990000 243792.000000 3240.000000
300.000000 4.000000 247033.000000 3241.000000
300.000000 4.010000 250123.000000 3090.000000
300.000000 4.020000 253181.000000 3058.000000
300.000000 4.030000 256278.000000 3097.000000
300.000000 4.040000 259385.000000 3107.000000
300.000000 4.050000 262428.000000 3043.000000
300.000000 4.060000 265470.000000 3042.000000
300.000000 4.070000 268451.000000 2981.000000
300.000000 4.080000 271372.000000 2921.000000
300.000000 4.090000 274329.000000 2957.000000
300.000000 4.100000 277308.000000 2979.000000
300.000000 4.110000 280244.000000 2936.000000
300.000000 4.120000 283097.000000 2853.000000
300.000000 4.130000 285928.000000 2831.000000
300.000000 4.140000 288775.000000 2847.000000
300.000000 4.150000 291543.000000 2768.000000
300.000000 4.160000 294456.000000 2913.000000
300.000000 4.170000 297229.000000 2773.000000
300.000000 4.180000 300071.000000 2842.000000
300.000000 4.190000 302929.000000 2858.000000
300.000000 4.200000 305689.000000 2760.000000
300.000000 4.210000 308567.000000 2878.000000
300.000000 4.220000 311402.000000 2835.000000
300.000000 4.230000 314252.000000 2850.000000
300.000000 4.240000 316917.000000 2665.000000
300.000000 4.250000 319702.000000 2785.000000
300.000000 4.260000 322287.000000 2585.000000
300.000000 4.270000 324927.000000 2640.000000
300.000000 4.280000 327498.000000 2571.000000
300.000000 4.290000 330072.000000 2574.000000
300.000000 4.300000 332602.000000 2530.000000
300.000000 4.310000 335221.000000 2619.000000
300.000000 4.320000 337825.000000 2604.000000
300.000000 4.330000 340437.000000 2612.000000
300.000000 4.340000 342933.000000 2496.000000
300.000000 4.350000 345436.000000 2503.000000
300.000000 4.360000 348016.000000 2580.000000
300.000000 4.370000 350571.000000 2555.000000
300.000000 4.380000 353124.000000 2553.000000
300.000000 4.390000 355659.000000 2535.000000
300.000000 4.400000 358131.000000 2472.000000
300.000000 4.410000 360672.000000 2541.000000
300.000000 4.420000 363225.000000 2553.000000
300.000000 4.430000 365759.000000 2534.000000
300.000000 4.440000 368283.000000 2524.000000
300.000000 4.450000 370712.000000 2429.000000
300.000000 4.460000 373148.000000 2436.000000
300.000000 4.470000 375575.000000 2427.000000
300.000000 4.480000 378050.000000 2475.000000
300.000000 4.490000 380491.000000 2441.000000
300.000000 4.500000 382878.000000 2387.000000
300.000000 4.510000 385349.000000 2471.000000
300.000000 4.520000 387783.000000 2434.000000
300.000000 4.530000 390233.000000 2450.000000
300.000000 4.540000 392585.000000 2352.000000
300.000000 4.550000 394954.000000 2369.000000
300.000000 4.560000 397331.000000 2377.000000
300.000000 4.570000 399752.000000 2421.000000
300.000000 4.580000 402143.000000 2391.000000
300.000000 4.590000 404565.000000 2422.000000
300.000000 4.600000 406970.000000 2405.000000
300.000000 4.610000 409364.000000 2394.000000
300.000000 4.620000 411726.000000 2362.000000
300.000000 4.630000 414108.000000 2382.000000
300.000000 4.640000 416431.000000 2323.000000
300.000000 4.650000 418769.000000 2338.000000
300.000000 4.660000 421058.000000 2289.000000
300.000000 4.670000 423420.000000 2362.000000
300.000000 4.680000 425767.000000 2347.000000
300.000000 4.690000 428048.000000 2281.000000
300.000000 4.700000 430418.000000 2370.000000
300.000000 4.710000 432794.000000 2376.000000
300.000000 4.720000 435133.000000 2339.000000
300.000000 4.730000 437383.000000 2250.000000
300.000000 4.740000 439638.000000 2255.000000
300.000000 4.750000 441944.000000 2306.000000
300.000000 4.760000 444244.000000 2300.000000
300.000000 4.770000 446581.000000 2337.000000
300.000000 4.780000 448922.000000 2341.000000
300.000000 4.790000 451200.000000 2278.000000
300.000000 4.800000 453494.000000 2294.000000
300.000000 4.810000 455746.000000 2252.000000
300.000000 4.820000 458056.000000 2310.000000
300.000000 4.830000 460201.000000 2145.000000
300.000000 4.840000 462456.000000 2255.000000
300.000000 4.850000 464724.000000 2268.000000
300.000000 4.860000 467021.000000 2297.000000
300.000000 4.870000 469205.000000 2184.000000
300.000000 4.880000 471423.000000 2218.000000
300.000000 4.890000 473694.000000 2271.000000
300.000000 4.900000 475885.000000 2191.000000
300.000000 4.910000 478063.000000 2178.000000
300.000000 4.920000 480277.000000 2214.000000
300.000000 4.930000 482404.000000 2127.000000
300.000000 4.940000 484537.000000 2133.000000
300.000000 4.950000 486655.000000 2118.000000
300.000000 4.960000 488765.000000 2110.000000
300.000000 4.970000 490853.000000 2088.000000
300.000000 4.980000 492998.000000 2145.000000
300.000000 4.990000 495150.000000 2152.000000
300.000000 5.000000 500000.000000 4850.000000
300.000000 5.010000 504850.000000 4850.000000
300.000000 5.020000 507002.000000 2152.000000
300.000000 5.030000 509147.000000 2145.000000
300.000000 5.040000 511235.000000 2088.000000
300.000000 5.050000 513345.000000 2110.000000
300.000000 5.060000 515463.000000 2118.000000
300.000000 5.070000 517596.000000 2133.000000
300.000000 5.080000 519723.000000 2127.000000
300.000000 5.090000 521937.000000 2214.000000
300.000000 5.100000 524115.000000 2178.000000
300.000000 5.110000 526306.000000 2191.000000
300.000000 5.120000 528577.000000 2271.000000
300.000000 5.130000 530795.000000 2218.000000
300.000000 5.140000 532979.000000 2184.000000
300.000000 5.150000 535276.000000 2297.000000
300.000000 5.160000 537544.000000 2268.000000
300.000000 5.170000 539799.000000 2255.000000
300.000000 5.180000 541944.000000 2145.000000
300.000000 5.190000 544254.000000 2310.000000
300.000000 5.200000 546506.000000 2252.000000
300.000000 5.210000 548800.000000 2294.000000
300.000000 5.220000 551078.000000 2278.000000
300.000000 5.230000 553419.000000 2341.000000
300.000000 5.240000 555756.000000 2337.000000
300.000000 5.250000 558056.000000 2300.000000
300.000000 5.260000 560362.000000 2306.000000
300.000000 5.270000 562617.000000 2255.000000
300.000000 5.280000 564867.000000 2250.000000
300.000000 5.290000 567206.000000 2339.000000
300.000000 5.300000 569582.000000 2376.000000
300.000000 5.310000 571952.000000 2370.000000
300.000000 5.320000 574233.000000 2281.000000
300.000000 5.330000 576580.000000 2347.000000
300.000000 5.340000 578942.000000 2362.000000
300.000000 5.350000 581231.000000 2289.000000
300.000000 5.360000 583569.000000 2338.000000
300.000000 5.370000 585892.000000 2323.000000
300.000000 5.380000 588274.000000 2382.000000
300.000000 5.390000 590636.000000 2362.000000
300.000000 5.400000 593030.000000 2394.000000
300.000000 5.410000 595435.000000 2405.000000
300.000000 5.420000 597857.000000 2422.000000
300.000000 5.430000 600248.000000 2391.000000
300.000000 5.440000 602669.000000 2421.000000
300.000000 5.450000 605046.000000 2377.000000
300.000000 5.460000 607415.000000 2369.000000
300.000000 5.470000 609767.000000 2352.000000
300.000000 5.480000 612217.000000 2450.000000
300.000000 5.490000 614651.000000 2434.000000
300.000000 5.500000 617122.000000 2471.000000
300.000000 5.510000 619509.000000 2387.000000
300.000000 5.520000 621950.000000 2441.000000
300.000000 5.530000 624425.000000 2475.000000
300.000000 5.540000 626852.000000 2427.000000
300.000000 5.550000 629288.000000 2436.000000
300.000000 5.560000 631717.000000 2429.000000
300.000000 5.570000 634241.000000 2524.000000
300.000000 5.580000 636775.000000 2534.000000
300.000000 5.590000 639328.000000 2553.000000
300.000000 5.600000 641869.000000 2541.000000
300.000000 5.610000 644341.000000 2472.000000
300.000000 5.620000 646876.000000 2535.000000
300.000000 5.630000 649429.000000 2553.000000
300.000000 5.640000 651984.000000 2555.000000
300.000000 5.650000 654564.000000 2580.000000
300.000000 5.660000 657067.000000 2503.000000
300.000000 5.670000 659563.000000 2496.000000
300.000000 5.680000 662175.000000 2612.000000
300.000000 5.690000 664779.000000 2604.000000
300.000000 5.700000 667398.000000 2619.000000
300.000000 5.710000 669928.000000 2530.000000
300.000000 5.720000 672502.000000 2574.000000
300.000000 5.730000 675073.000000 2571.000000
300.000000 5.740000 677713.000000 2640.000000
300.000000 5.750000 680298.000000 2585.000000
300.000000 5.760000 683083.000000 2785.000000
300.000000 5.770000 685748.000000 2665.000000
300.000000 5.780000 688598.000000 2850.000000
300.000000 5.790000 691433.000000 2835.000000
300.000000 5.800000 694311.000000 2878.000000
300.000000 5.810000 697071.000000 2760.000000
300.000000 5.820000 699929.000000 2858.000000
300.000000 5.830000 702771.000000 2842.000000
300.000000 5.840000 705544.000000 2773.000000
300.000000 5.850000 708457.000000 2913.000000
300.000000 5.860000 711225.000000 2768.000000
300.000000 5.870000 714072.000000 2847.000000
300.000000 5.880000 716903.000000 2831.000000
300.000000 5.890000 719756.000000 2853.000000
300.000000 5.900000 722692.000000 2936.000000
300.000000 5.910000 725671.000000 2979.000000
300.000000 5.920000 728628.000000 2957.000000
300.000000 5.930000 731549.000000 2921.000000
300.000000 5.940000 734530.000000 2981.000000
300.000000 5.950000 737572.000000 3042.000000
300.000000 5.960000 740615.000000 3043.000000
300.000000 5.970000 743722.000000 3107.000000
300.000000 5.980000 746819.000000 3097.000000
300.000000 5.990000 749877.000000 3058.000000
300.000000 6.000000 752967.000000 3090.000000
300.000000 6.010000 756208.000000 3241.000000
300.000000 6.020000 759448.000000 3240.000000
300.000000 6.030000 762630.000000 3182.000000
300.000000 6.040000 765930.000000 3300.000000
300.000000 6.050000 769165.000000 3235.000000
300.000000 6.060000 772511.000000 3346.000000
300.000000 6.070000 775877.000000 3366.000000
300.000000 6.080000 779210.000000 3333.000000
300.000000 6.090000 782604.000000 3394.000000
300.000000 6.100000 786137.000000 3533.000000
300.000000 6.110000 789681.000000 3544.000000
300.000000 6.120000 793266.000000 3585.000000
300.000000 6.130000 796828.000000 3562.000000
300.000000 6.140000 800521.000000 3693.000000
300.000000 6.150000 804244.000000 3723.000000
300.000000 6.160000 807940.000000 3696.000000
300.000000 6.170000 811713.000000 3773.000000
300.000000 6.180000 815637.000000 3924.000000
300.000000 6.190000 819520.000000 3883.000000
300.000000 6.200000 823496.000000 3976.000000
300.000000 6.210000 827519.000000 4023.000000
300.000000 6.220000 831651.000000 4132.000000
300.000000 6.230000 835679.000000 4028.000000
300.000000 6.240000 839956.000000 4277.000000
300.000000 6.250000 844320.000000 4364.000000
300.000000 6.260000 848717.000000 4397.000000
300.000000 6.270000 853281.000000 4564.000000
300.000000 6.280000 857812.000000 4531.000000
300.000000 6.290000 862548.000000 4736.000000
300.000000 6.300000 867221.000000 4673.000000
300.000000 6.310000 872098.000000 4877.000000
300.000000 6.320000 876985.000000 4887.000000
300.000000 6.330000 881961.000000 4976.000000
300.000000 6.340000 887206.000000 5245.000000
300.000000 6.350000 892635.000000 5429.000000
300.000000 6.360000 898169.000000 5534.000000
300.000000 6.370000 903798.000000 5629.000000
300.000000 6.380000 909642.000000 5844.000000
300.000000 6.390000 915500.000000 5858.000000
300.000000 6.400000 921635.000000 6135.000000
300.000000 6.410000 927926.000000 6291.000000
300.000000 6.420000 934467.000000 6541.000000
300.000000 6.430000 941081.000000 6614.000000
300.000000 6.440000 947636.000000 6555.000000
300.000000 6.450000 954426.000000 6790.000000
300.000000 6.460000 961293.000000 6867.000000
300.000000 6.470000 968074.000000 6781.000000
300.000000 6.480000 974750.000000 6676.000000
300.000000 6.490000 981114.000000 6364.000000
300.000000 6.500000 986756.000000 5642.000000
300.000000 6.510000 991670.000000 4914.000000
300.000000 6.520000 995416.000000 3746.000000
300.000000 6.530000 997953.000000 2537.000000
300.000000 6.540000 999305.000000 1352.000000
300.000000 6.550000 999860.000000 555.000000
300.000000 6.560000 999985.000000 125.000000
300.000000 6.570000 1000000.000000 15.000000
300.000000 6.580000 1000000.000000 0.000000
300.000000 6.590000 1000000.000000 0.000000
300.000000 6.600000 1000000.000000 0.000000
300.000000 6.610000 1000000.000000 0.000000
300.000000 6.620000 1000000.000000 0.000000
300.000000 6.630000 1000000.000000 0.000000
300.000000 6.640000 1000000.000000 0.000000
300.000000 6.650000 1000000.000000 0.000000
300.000000 6.660000 1000000.000000 0.000000
300.000000 6.670000 1000000.000000 0.000000
300.000000 6.680000 1000000.000000 0.000000
300.000000 6.690000 1000000.000000 0.000000
300.000000 6.700000 1000000.000000 0.000000
300.000000 6.710000 1000000.000000 0.000000
