#T sigma Cumulative-DoS DoS-this-bin
#Trying plotting like: gnuplot> p "DoS.dat" u 2:4 
300.000000 3.200000 0.000000 0.000000
300.000000 3.210000 0.000000 0.000000
300.000000 3.220000 0.000000 0.000000
300.000000 3.230000 0.000000 0.000000
300.000000 3.240000 0.000000 0.000000
300.000000 3.250000 0.000000 0.000000
300.000000 3.260000 0.000000 0.000000
300.000000 3.270000 0.000000 0.000000
300.000000 3.280000 0.000000 0.000000
300.000000 3.290000 0.000000 0.000000
300.000000 3.300000 0.000000 0.000000
300.000000 3.310000 0.000000 0.000000
300.000000 3.320000 0.000000 0.000000
300.000000 3.330000 0.000000 0.000000
300.000000 3.340000 0.000000 0.000000
300.000000 3.350000 0.000000 0.000000
300.000000 3.360000 0.000000 0.000000
300.000000 3.370000 0.000000 0.000000
300.000000 3.380000 0.000000 0.000000
300.000000 3.390000 0.000000 0.000000
300.000000 3.400000 0.000000 0.000000
300.000000 3.410000 0.000000 0.000000
300.000000 3.420000 0.000000 0.000000
300.000000 3.430000 0.000000 0.000000
300.000000 3.440000 0.000000 0.000000
300.000000 3.450000 0.000000 0.000000
300.000000 3.460000 0.000000 0.000000
300.000000 3.470000 0.000000 0.000000
300.000000 3.480000 0.000000 0.000000
300.000000 3.490000 0.000000 0.000000
300.000000 3.500000 0.000000 0.000000
300.000000 3.510000 0.000000 0.000000
300.000000 3.520000 0.000000 0.000000
300.000000 3.530000 0.000000 0.000000
300.000000 3.540000 0.000000 0.000000
300.000000 3.550000 0.000000 0.000000
300.000000 3.560000 0.000000 0.000000
300.000000 3.570000 0.000000 0.000000
300.000000 3.580000 0.000000 0.000000
300.000000 3.590000 0.000000 0.000000
300.000000 3.600000 0.000000 0.000000
300.000000 3.610000 0.000000 0.000000
300.000000 3.620000 0.000000 0.000000
300.000000 3.630000 0.000000 0.000000
300.000000 3.640000 0.000000 0.000000
300.000000 3.650000 0.000000 0.000000
300.000000 3.660000 0.000000 0.000000
300.000000 3.670000 0.000000 0.000000
300.000000 3.680000 0.000000 0.000000
300.000000 3.690000 0.000000 0.000000
300.000000 3.700000 0.000000 0.000000
300.000000 3.710000 0.000000 0.000000
300.000000 3.720000 0.000000 0.000000
300.000000 3.730000 0.000000 0.000000
300.000000 3.740000 0.000000 0.000000
300.000000 3.750000 0.000000 0.000000
300.000000 3.760000 0.000000 0.000000
300.000000 3.770000 0.000000 0.000000
300.000000 3.780000 0.000000 0.000000
300.000000 3.790000 1.000000 1.000000
300.000000 3.800000 1.000000 0.000000
300.000000 3.810000 1.000000 0.000000
300.000000 3.820000 1.000000 0.000000
300.000000 3.830000 1.000000 0.000000
300.000000 3.840000 1.000000 0.000000
300.000000 3.850000 1.000000 0.000000
300.000000 3.860000 1.000000 0.000000
300.000000 3.870000 1.000000 0.000000
300.000000 3.880000 1.000000 0.000000
300.000000 3.890000 1.000000 0.000000
300.000000 3.900000 2.000000 1.000000
300.000000 3.910000 3.000000 1.000000
300.000000 3.920000 3.000000 0.000000
300.000000 3.930000 7.000000 4.000000
300.000000 3.940000 14.000000 7.000000
300.000000 3.950000 21.000000 7.000000
300.000000 3.960000 30.000000 9.000000
300.000000 3.970000 41.000000 11.000000
300.000000 3.980000 54.000000 13.000000
300.000000 3.990000 78.000000 24.000000
300.000000 4.000000 111.000000 33.000000
300.000000 4.010000 136.000000 25.000000
300.000000 4.020000 185.000000 49.000000
300.000000 4.030000 243.000000 58.000000
300.000000 4.040000 341.000000 98.000000
300.000000 4.050000 444.000000 103.000000
300.000000 4.060000 584.000000 140.000000
300.000000 4.070000 739.000000 155.000000
300.000000 4.080000 937.000000 198.000000
300.000000 4.090000 1175.000000 238.000000
300.000000 4.100000 1466.000000 291.000000
300.000000 4.110000 1841.000000 375.000000
300.000000 4.120000 2282.000000 441.000000
300.000000 4.130000 2760.000000 478.000000
300.000000 4.140000 3367.000000 607.000000
300.000000 4.150000 4130.000000 763.000000
300.000000 4.160000 5022.000000 892.000000
300.000000 4.170000 6021.000000 999.000000
300.000000 4.180000 7219.000000 1198.000000
300.000000 4.190000 8636.000000 1417.000000
300.000000 4.200000 10213.000000 1577.000000
300.000000 4.210000 12025.000000 1812.000000
300.000000 4.220000 14094.000000 2069.000000
300.000000 4.230000 16442.000000 2348.000000
300.000000 4.240000 19139.000000 2697.000000
300.000000 4.250000 22074.000000 2935.000000
300.000000 4.260000 25281.000000 3207.000000
300.000000 4.270000 28817.000000 3536.000000
300.000000 4.280000 32649.000000 3832.000000
300.000000 4.290000 36607.000000 3958.000000
300.000000 4.300000 41166.000000 4559.000000
300.000000 4.310000 45831.000000 4665.000000
300.000000 4.320000 50935.000000 5104.000000
300.000000 4.330000 56324.000000 5389.000000
300.000000 4.340000 61834.000000 5510.000000
300.000000 4.350000 67671.000000 5837.000000
300.000000 4.360000 73712.000000 6041.000000
300.000000 4.370000 79874.000000 6162.000000
300.000000 4.380000 86177.000000 6303.000000
300.000000 4.390000 92837.000000 6660.000000
300.000000 4.400000 99530.000000 6693.000000
300.000000 4.410000 106404.000000 6874.000000
300.000000 4.420000 113424.000000 7020.000000
300.000000 4.430000 120478.000000 7054.000000
300.000000 4.440000 127604.000000 7126.000000
300.000000 4.450000 134960.000000 7356.000000
300.000000 4.460000 142038.000000 7078.000000
300.000000 4.470000 149262.000000 7224.000000
300.000000 4.480000 156494.000000 7232.000000
300.000000 4.490000 163755.000000 7261.000000
300.000000 4.500000 170949.000000 7194.000000
300.000000 4.510000 178233.000000 7284.000000
300.000000 4.520000 185403.000000 7170.000000
300.000000 4.530000 192555.000000 7152.000000
300.000000 4.540000 199609.000000 7054.000000
300.000000 4.550000 206848.000000 7239.000000
300.000000 4.560000 214005.000000 7157.000000
300.000000 4.570000 221087.000000 7082.000000
300.000000 4.580000 228054.000000 6967.000000
300.000000 4.590000 235119.000000 7065.000000
300.000000 4.600000 242161.000000 7042.000000
300.000000 4.610000 249094.000000 6933.000000
300.000000 4.620000 255917.000000 6823.000000
300.000000 4.630000 262720.000000 6803.000000
300.000000 4.640000 269453.000000 6733.000000
300.000000 4.650000 276126.000000 6673.000000
300.000000 4.660000 282873.000000 6747.000000
300.000000 4.670000 289450.000000 6577.000000
300.000000 4.680000 296019.000000 6569.000000
300.000000 4.690000 302535.000000 6516.000000
300.000000 4.700000 308985.000000 6450.000000
300.000000 4.710000 315325.000000 6340.000000
300.000000 4.720000 321580.000000 6255.000000
300.000000 4.730000 327952.000000 6372.000000
300.000000 4.740000 334246.000000 6294.000000
300.000000 4.750000 340636.000000 6390.000000
300.000000 4.760000 346844.000000 6208.000000
300.000000 4.770000 352781.000000 5937.000000
300.000000 4.780000 358735.000000 5954.000000
300.000000 4.790000 364833.000000 6098.000000
300.000000 4.800000 370941.000000 6108.000000
300.000000 4.810000 376887.000000 5946.000000
300.000000 4.820000 382717.000000 5830.000000
300.000000 4.830000 388691.000000 5974.000000
300.000000 4.840000 394542.000000 5851.000000
300.000000 4.850000 400366.000000 5824.000000
300.000000 4.860000 406072.000000 5706.000000
300.000000 4.870000 411762.000000 5690.000000
300.000000 4.880000 417587.000000 5825.000000
300.000000 4.890000 423194.000000 5607.000000
300.000000 4.900000 428792.000000 5598.000000
300.000000 4.910000 434388.000000 5596.000000
300.000000 4.920000 439964.000000 5576.000000
300.000000 4.930000 445496.000000 5532.000000
300.000000 4.940000 451011.000000 5515.000000
300.000000 4.950000 456643.000000 5632.000000
300.000000 4.960000 462329.000000 5686.000000
300.000000 4.970000 468295.000000 5966.000000
300.000000 4.980000 474519.000000 6224.000000
300.000000 4.990000 481529.000000 7010.000000
300.000000 5.000000 500000.000000 18471.000000
300.000000 5.010000 518471.000000 18471.000000
300.000000 5.020000 525481.000000 7010.000000
300.000000 5.030000 531705.000000 6224.000000
300.000000 5.040000 537671.000000 5966.000000
300.000000 5.050000 543357.000000 5686.000000
300.000000 5.060000 548989.000000 5632.000000
300.000000 5.070000 554504.000000 5515.000000
300.000000 5.080000 560036.000000 5532.000000
300.000000 5.090000 565612.000000 5576.000000
300.000000 5.100000 571208.000000 5596.000000
300.000000 5.110000 576806.000000 5598.000000
300.000000 5.120000 582413.000000 5607.000000
300.000000 5.130000 588238.000000 5825.000000
300.000000 5.140000 593928.000000 5690.000000
300.000000 5.150000 599634.000000 5706.000000
300.000000 5.160000 605458.000000 5824.000000
300.000000 5.170000 611309.000000 5851.000000
300.000000 5.180000 617283.000000 5974.000000
300.000000 5.190000 623113.000000 5830.000000
300.000000 5.200000 629059.000000 5946.000000
300.000000 5.210000 635167.000000 6108.000000
300.000000 5.220000 641265.000000 6098.000000
300.000000 5.230000 647219.000000 5954.000000
300.000000 5.240000 653156.000000 5937.000000
300.000000 5.250000 659364.000000 6208.000000
300.000000 5.260000 665754.000000 6390.000000
300.000000 5.270000 672048.000000 6294.000000
300.000000 5.280000 678420.000000 6372.000000
300.000000 5.290000 684675.000000 6255.000000
300.000000 5.300000 691015.000000 6340.000000
300.000000 5.310000 697465.000000 6450.000000
300.000000 5.320000 703981.000000 6516.000000
300.000000 5.330000 710550.000000 6569.000000
300.000000 5.340000 717127.000000 6577.000000
300.000000 5.350000 723874.000000 6747.000000
300.000000 5.360000 730547.000000 6673.000000
300.000000 5.370000 737280.000000 6733.000000
300.000000 5.380000 744083.000000 6803.000000
300.000000 5.390000 750906.000000 6823.000000
300.000000 5.400000 757839.000000 6933.000000
300.000000 5.410000 764881.000000 7042.000000
300.000000 5.420000 771946.000000 7065.000000
300.000000 5.430000 778913.000000 6967.000000
300.000000 5.440000 785995.000000 7082.000000
300.000000 5.450000 793152.000000 7157.000000
300.000000 5.460000 800391.000000 7239.000000
300.000000 5.470000 807445.000000 7054.000000
300.000000 5.480000 814597.000000 7152.000000
300.000000 5.490000 821767.000000 7170.000000
300.000000 5.500000 829051.000000 7284.000000
300.000000 5.510000 836245.000000 7194.000000
300.000000 5.520000 843506.000000 7261.000000
300.000000 5.530000 850738.000000 7232.000000
300.000000 5.540000 857962.000000 7224.000000
300.000000 5.550000 865040.000000 7078.000000
300.000000 5.560000 872396.000000 7356.000000
300.000000 5.570000 879522.000000 7126.000000
300.000000 5.580000 886576.000000 7054.000000
300.000000 5.590000 893596.000000 7020.000000
300.000000 5.600000 900470.000000 6874.000000
300.000000 5.610000 907163.000000 6693.000000
300.000000 5.620000 913823.000000 6660.000000
300.000000 5.630000 920126.000000 6303.000000
300.000000 5.640000 926288.000000 6162.000000
300.000000 5.650000 932329.000000 6041.000000
300.000000 5.660000 938166.000000 5837.000000
300.000000 5.670000 943676.000000 5510.000000
300.000000 5.680000 949065.000000 5389.000000
300.000000 5.690000 954169.000000 5104.000000
300.000000 5.700000 958834.000000 4665.000000
300.000000 5.710000 963393.000000 4559.000000
300.000000 5.720000 967351.000000 3958.000000
300.000000 5.730000 971183.000000 3832.000000
300.000000 5.740000 974719.000000 3536.000000
300.000000 5.750000 977926.000000 3207.000000
300.000000 5.760000 980861.000000 2935.000000
300.000000 5.770000 983558.000000 2697.000000
300.000000 5.780000 985906.000000 2348.000000
300.000000 5.790000 987975.000000 2069.000000
300.000000 5.800000 989787.000000 1812.000000
300.000000 5.810000 991364.000000 1577.000000
300.000000 5.820000 992781.000000 1417.000000
300.000000 5.830000 993979.000000 1198.000000
300.000000 5.840000 994978.000000 999.000000
300.000000 5.850000 995870.000000 892.000000
300.000000 5.860000 996633.000000 763.000000
300.000000 5.870000 997240.000000 607.000000
300.000000 5.880000 997718.000000 478.000000
300.000000 5.890000 998159.000000 441.000000
300.000000 5.900000 998534.000000 375.000000
300.000000 5.910000 998825.000000 291.000000
300.000000 5.920000 999063.000000 238.000000
300.000000 5.930000 999261.000000 198.000000
300.000000 5.940000 999416.000000 155.000000
300.000000 5.950000 999556.000000 140.000000
300.000000 5.960000 999659.000000 103.000000
300.000000 5.970000 999757.000000 98.000000
300.000000 5.980000 999815.000000 58.000000
300.000000 5.990000 999864.000000 49.000000
300.000000 6.000000 999889.000000 25.000000
300.000000 6.010000 999922.000000 33.000000
300.000000 6.020000 999946.000000 24.000000
300.000000 6.030000 999959.000000 13.000000
300.000000 6.040000 999970.000000 11.000000
300.000000 6.050000 999979.000000 9.000000
300.000000 6.060000 999986.000000 7.000000
300.000000 6.070000 999993.000000 7.000000
300.000000 6.080000 999997.000000 4.000000
300.000000 6.090000 999997.000000 0.000000
300.000000 6.100000 999998.000000 1.000000
300.000000 6.110000 999999.000000 1.000000
300.000000 6.120000 999999.000000 0.000000
300.000000 6.130000 999999.000000 0.000000
300.000000 6.140000 999999.000000 0.000000
300.000000 6.150000 999999.000000 0.000000
300.000000 6.160000 999999.000000 0.000000
300.000000 6.170000 999999.000000 0.000000
300.000000 6.180000 999999.000000 0.000000
300.000000 6.190000 999999.000000 0.000000
300.000000 6.200000 999999.000000 0.000000
300.000000 6.210000 999999.000000 0.000000
300.000000 6.220000 1000000.000000 1.000000
300.000000 6.230000 1000000.000000 0.000000
300.000000 6.240000 1000000.000000 0.000000
300.000000 6.250000 1000000.000000 0.000000
300.000000 6.260000 1000000.000000 0.000000
300.000000 6.270000 1000000.000000 0.000000
300.000000 6.280000 1000000.000000 0.000000
300.000000 6.290000 1000000.000000 0.000000
300.000000 6.300000 1000000.000000 0.000000
300.000000 6.310000 1000000.000000 0.000000
300.000000 6.320000 1000000.000000 0.000000
300.000000 6.330000 1000000.000000 0.000000
300.000000 6.340000 1000000.000000 0.000000
300.000000 6.350000 1000000.000000 0.000000
300.000000 6.360000 1000000.000000 0.000000
300.000000 6.370000 1000000.000000 0.000000
300.000000 6.380000 1000000.000000 0.000000
300.000000 6.390000 1000000.000000 0.000000
300.000000 6.400000 1000000.000000 0.000000
300.000000 6.410000 1000000.000000 0.000000
300.000000 6.420000 1000000.000000 0.000000
300.000000 6.430000 1000000.000000 0.000000
300.000000 6.440000 1000000.000000 0.000000
300.000000 6.450000 1000000.000000 0.000000
300.000000 6.460000 1000000.000000 0.000000
300.000000 6.470000 1000000.000000 0.000000
300.000000 6.480000 1000000.000000 0.000000
300.000000 6.490000 1000000.000000 0.000000
300.000000 6.500000 1000000.000000 0.000000
300.000000 6.510000 1000000.000000 0.000000
300.000000 6.520000 1000000.000000 0.000000
300.000000 6.530000 1000000.000000 0.000000
300.000000 6.540000 1000000.000000 0.000000
300.000000 6.550000 1000000.000000 0.000000
300.000000 6.560000 1000000.000000 0.000000
300.000000 6.570000 1000000.000000 0.000000
300.000000 6.580000 1000000.000000 0.000000
300.000000 6.590000 1000000.000000 0.000000
300.000000 6.600000 1000000.000000 0.000000
300.000000 6.610000 1000000.000000 0.000000
300.000000 6.620000 1000000.000000 0.000000
300.000000 6.630000 1000000.000000 0.000000
300.000000 6.640000 1000000.000000 0.000000
300.000000 6.650000 1000000.000000 0.000000
300.000000 6.660000 1000000.000000 0.000000
300.000000 6.670000 1000000.000000 0.000000
300.000000 6.680000 1000000.000000 0.000000
300.000000 6.690000 1000000.000000 0.000000
300.000000 6.700000 1000000.000000 0.000000
300.000000 6.710000 1000000.000000 0.000000
300.000000 6.720000 1000000.000000 0.000000
300.000000 6.730000 1000000.000000 0.000000
300.000000 6.740000 1000000.000000 0.000000
300.000000 6.750000 1000000.000000 0.000000
300.000000 6.760000 1000000.000000 0.000000
300.000000 6.770000 1000000.000000 0.000000
300.000000 6.780000 1000000.000000 0.000000
300.000000 6.790000 1000000.000000 0.000000
